,time,exp,func,param1,param2
397,112.811035,sort1,sorted(),1000000,10000
398,111.18453,sort1,sorted(),1000000,10000
399,118.47406,sort1,sorted(),1000000,10000
400,708.3429,sort2,A.sort(key=lambda x: x[1]),1000000,10000
401,616.31195,sort2,A.sort(key=lambda x: x[1]),1000000,10000
402,625.3102,sort2,A.sort(key=lambda x: x[1]),1000000,10000
403,617.57837,sort2,A.sort(key=lambda x: x[1]),1000000,10000
404,615.93536,sort2,A.sort(key=lambda x: x[1]),1000000,10000
405,612.98627,sort2,A.sort(key=lambda x: x[1]),1000000,10000
406,625.86206,sort2,A.sort(key=lambda x: x[1]),1000000,10000
407,624.1326,sort2,A.sort(key=lambda x: x[1]),1000000,10000
408,619.25616,sort2,A.sort(key=lambda x: x[1]),1000000,10000
409,613.1366,sort2,A.sort(key=lambda x: x[1]),1000000,10000
410,618.55035,sort2,A.sort(key=lambda x: x[1]),1000000,10000
411,613.6152,sort2,A.sort(key=lambda x: x[1]),1000000,10000
412,635.14636,sort2,A.sort(key=lambda x: x[1]),1000000,10000
413,615.90186,sort2,A.sort(key=lambda x: x[1]),1000000,10000
414,636.0271,sort2,A.sort(key=lambda x: x[1]),1000000,10000
415,614.5661,sort2,A.sort(key=lambda x: x[1]),1000000,10000
416,613.4316,sort2,A.sort(key=lambda x: x[1]),1000000,10000
417,613.7922,sort2,A.sort(key=lambda x: x[1]),1000000,10000
418,621.1334,sort2,A.sort(key=lambda x: x[1]),1000000,10000
419,616.7017,sort2,A.sort(key=lambda x: x[1]),1000000,10000
420,614.87775,sort2,A.sort(key=lambda x: x[1]),1000000,10000
421,619.38324,sort2,A.sort(key=lambda x: x[1]),1000000,10000
422,635.0406,sort2,A.sort(key=lambda x: x[1]),1000000,10000
423,623.9529,sort2,A.sort(key=lambda x: x[1]),1000000,10000
424,614.2972,sort2,A.sort(key=lambda x: x[1]),1000000,10000
425,611.6991,sort2,A.sort(key=lambda x: x[1]),1000000,10000
426,601.3365,sort2,A.sort(key=lambda x: x[1]),1000000,10000
427,614.65,sort2,A.sort(key=lambda x: x[1]),1000000,10000
428,618.2921,sort2,A.sort(key=lambda x: x[1]),1000000,10000
429,616.9454,sort2,A.sort(key=lambda x: x[1]),1000000,10000
430,614.87463,sort2,A.sort(key=lambda x: x[1]),1000000,10000
431,616.4477,sort2,A.sort(key=lambda x: x[1]),1000000,10000
432,620.46625,sort2,A.sort(key=lambda x: x[1]),1000000,10000
433,613.934,sort2,A.sort(key=lambda x: x[1]),1000000,10000
434,616.9653,sort2,A.sort(key=lambda x: x[1]),1000000,10000
435,613.5793,sort2,A.sort(key=lambda x: x[1]),1000000,10000
436,620.92847,sort2,A.sort(key=lambda x: x[1]),1000000,10000
437,613.9677,sort2,A.sort(key=lambda x: x[1]),1000000,10000
438,621.1752,sort2,A.sort(key=lambda x: x[1]),1000000,10000
439,623.7957,sort2,A.sort(key=lambda x: x[1]),1000000,10000
440,618.16455,sort2,A.sort(key=lambda x: x[1]),1000000,10000
441,618.2788,sort2,A.sort(key=lambda x: x[1]),1000000,10000
442,615.711,sort2,A.sort(key=lambda x: x[1]),1000000,10000
443,618.7323,sort2,A.sort(key=lambda x: x[1]),1000000,10000
444,615.2614,sort2,A.sort(key=lambda x: x[1]),1000000,10000
445,618.76984,sort2,A.sort(key=lambda x: x[1]),1000000,10000
446,615.682,sort2,A.sort(key=lambda x: x[1]),1000000,10000
447,625.7647,sort2,A.sort(key=lambda x: x[1]),1000000,10000
448,614.76276,sort2,A.sort(key=lambda x: x[1]),1000000,10000
449,615.7902,sort2,A.sort(key=lambda x: x[1]),1000000,10000
450,615.3423,sort2,A.sort(key=lambda x: x[1]),1000000,10000
451,610.96277,sort2,A.sort(key=lambda x: x[1]),1000000,10000
452,617.50397,sort2,A.sort(key=lambda x: x[1]),1000000,10000
453,616.44525,sort2,A.sort(key=lambda x: x[1]),1000000,10000
454,631.1454,sort2,A.sort(key=lambda x: x[1]),1000000,10000
455,623.35114,sort2,A.sort(key=lambda x: x[1]),1000000,10000
456,616.1835,sort2,A.sort(key=lambda x: x[1]),1000000,10000
457,618.69214,sort2,A.sort(key=lambda x: x[1]),1000000,10000
458,613.8407,sort2,A.sort(key=lambda x: x[1]),1000000,10000
459,614.66736,sort2,A.sort(key=lambda x: x[1]),1000000,10000
460,619.766,sort2,A.sort(key=lambda x: x[1]),1000000,10000
461,630.64734,sort2,A.sort(key=lambda x: x[1]),1000000,10000
462,614.4077,sort2,A.sort(key=lambda x: x[1]),1000000,10000
463,608.3497,sort2,A.sort(key=lambda x: x[1]),1000000,10000
464,619.8329,sort2,A.sort(key=lambda x: x[1]),1000000,10000
465,619.13434,sort2,A.sort(key=lambda x: x[1]),1000000,10000
466,615.01105,sort2,A.sort(key=lambda x: x[1]),1000000,10000
467,617.1163,sort2,A.sort(key=lambda x: x[1]),1000000,10000
468,619.259,sort2,A.sort(key=lambda x: x[1]),1000000,10000
469,613.2786,sort2,A.sort(key=lambda x: x[1]),1000000,10000
470,618.30347,sort2,A.sort(key=lambda x: x[1]),1000000,10000
471,626.5678,sort2,A.sort(key=lambda x: x[1]),1000000,10000
472,613.63745,sort2,A.sort(key=lambda x: x[1]),1000000,10000
473,617.57825,sort2,A.sort(key=lambda x: x[1]),1000000,10000
474,613.65765,sort2,A.sort(key=lambda x: x[1]),1000000,10000
475,612.98883,sort2,A.sort(key=lambda x: x[1]),1000000,10000
476,614.9788,sort2,A.sort(key=lambda x: x[1]),1000000,10000
477,611.89014,sort2,A.sort(key=lambda x: x[1]),1000000,10000
478,615.34955,sort2,A.sort(key=lambda x: x[1]),1000000,10000
479,613.4602,sort2,A.sort(key=lambda x: x[1]),1000000,10000
480,611.32916,sort2,A.sort(key=lambda x: x[1]),1000000,10000
481,615.23395,sort2,A.sort(key=lambda x: x[1]),1000000,10000
482,619.2945,sort2,A.sort(key=lambda x: x[1]),1000000,10000
483,617.0478,sort2,A.sort(key=lambda x: x[1]),1000000,10000
484,595.88873,sort2,A.sort(key=lambda x: x[1]),1000000,10000
485,466.72086,sort2,A.sort(key=lambda x: x[1]),1000000,10000
486,465.2269,sort2,A.sort(key=lambda x: x[1]),1000000,10000
487,465.6331,sort2,A.sort(key=lambda x: x[1]),1000000,10000
488,466.91785,sort2,A.sort(key=lambda x: x[1]),1000000,10000
489,459.99677,sort2,A.sort(key=lambda x: x[1]),1000000,10000
490,463.16895,sort2,A.sort(key=lambda x: x[1]),1000000,10000
491,457.66956,sort2,A.sort(key=lambda x: x[1]),1000000,10000
492,467.6701,sort2,A.sort(key=lambda x: x[1]),1000000,10000
493,459.04257,sort2,A.sort(key=lambda x: x[1]),1000000,10000
494,466.82727,sort2,A.sort(key=lambda x: x[1]),1000000,10000
495,457.50787,sort2,A.sort(key=lambda x: x[1]),1000000,10000
496,472.2083,sort2,A.sort(key=lambda x: x[1]),1000000,10000
497,464.5158,sort2,A.sort(key=lambda x: x[1]),1000000,10000
498,467.61447,sort2,A.sort(key=lambda x: x[1]),1000000,10000
499,459.87418,sort2,A.sort(key=lambda x: x[1]),1000000,10000
500,383.18427,sort2,A.sort(key=itemgetter(1)),1000000,10000
501,385.04144,sort2,A.sort(key=itemgetter(1)),1000000,10000
502,381.70224,sort2,A.sort(key=itemgetter(1)),1000000,10000
503,389.0131,sort2,A.sort(key=itemgetter(1)),1000000,10000
504,384.5152,sort2,A.sort(key=itemgetter(1)),1000000,10000
505,379.23892,sort2,A.sort(key=itemgetter(1)),1000000,10000
506,388.24216,sort2,A.sort(key=itemgetter(1)),1000000,10000
507,380.14697,sort2,A.sort(key=itemgetter(1)),1000000,10000
508,395.73932,sort2,A.sort(key=itemgetter(1)),1000000,10000
509,382.4458,sort2,A.sort(key=itemgetter(1)),1000000,10000
510,385.70438,sort2,A.sort(key=itemgetter(1)),1000000,10000
511,399.21906,sort2,A.sort(key=itemgetter(1)),1000000,10000
512,387.59055,sort2,A.sort(key=itemgetter(1)),1000000,10000
513,397.68347,sort2,A.sort(key=itemgetter(1)),1000000,10000
514,384.77374,sort2,A.sort(key=itemgetter(1)),1000000,10000
515,378.7066,sort2,A.sort(key=itemgetter(1)),1000000,10000
516,469.32837,sort2,A.sort(key=itemgetter(1)),1000000,10000
517,498.84607,sort2,A.sort(key=itemgetter(1)),1000000,10000
518,502.40118,sort2,A.sort(key=itemgetter(1)),1000000,10000
519,498.172,sort2,A.sort(key=itemgetter(1)),1000000,10000
520,517.74567,sort2,A.sort(key=itemgetter(1)),1000000,10000
521,513.2319,sort2,A.sort(key=itemgetter(1)),1000000,10000
522,501.30414,sort2,A.sort(key=itemgetter(1)),1000000,10000
523,500.96475,sort2,A.sort(key=itemgetter(1)),1000000,10000
524,499.33994,sort2,A.sort(key=itemgetter(1)),1000000,10000
525,499.9852,sort2,A.sort(key=itemgetter(1)),1000000,10000
526,500.5514,sort2,A.sort(key=itemgetter(1)),1000000,10000
527,494.97598,sort2,A.sort(key=itemgetter(1)),1000000,10000
528,504.39334,sort2,A.sort(key=itemgetter(1)),1000000,10000
529,498.12155,sort2,A.sort(key=itemgetter(1)),1000000,10000
530,501.56665,sort2,A.sort(key=itemgetter(1)),1000000,10000
531,501.72192,sort2,A.sort(key=itemgetter(1)),1000000,10000
532,506.2099,sort2,A.sort(key=itemgetter(1)),1000000,10000
533,508.18573,sort2,A.sort(key=itemgetter(1)),1000000,10000
534,502.0172,sort2,A.sort(key=itemgetter(1)),1000000,10000
535,499.33542,sort2,A.sort(key=itemgetter(1)),1000000,10000
536,504.30072,sort2,A.sort(key=itemgetter(1)),1000000,10000
537,495.09796,sort2,A.sort(key=itemgetter(1)),1000000,10000
538,501.10388,sort2,A.sort(key=itemgetter(1)),1000000,10000
539,494.88977,sort2,A.sort(key=itemgetter(1)),1000000,10000
540,504.98843,sort2,A.sort(key=itemgetter(1)),1000000,10000
541,501.48975,sort2,A.sort(key=itemgetter(1)),1000000,10000
542,504.01758,sort2,A.sort(key=itemgetter(1)),1000000,10000
543,502.14737,sort2,A.sort(key=itemgetter(1)),1000000,10000
544,500.94287,sort2,A.sort(key=itemgetter(1)),1000000,10000
545,495.30072,sort2,A.sort(key=itemgetter(1)),1000000,10000
546,499.55652,sort2,A.sort(key=itemgetter(1)),1000000,10000
547,495.88156,sort2,A.sort(key=itemgetter(1)),1000000,10000
548,502.4351,sort2,A.sort(key=itemgetter(1)),1000000,10000
549,496.25836,sort2,A.sort(key=itemgetter(1)),1000000,10000
550,502.68643,sort2,A.sort(key=itemgetter(1)),1000000,10000
551,507.76904,sort2,A.sort(key=itemgetter(1)),1000000,10000
552,507.2093,sort2,A.sort(key=itemgetter(1)),1000000,10000
553,503.51166,sort2,A.sort(key=itemgetter(1)),1000000,10000
554,500.26053,sort2,A.sort(key=itemgetter(1)),1000000,10000
555,529.85834,sort2,A.sort(key=itemgetter(1)),1000000,10000
556,537.4164,sort2,A.sort(key=itemgetter(1)),1000000,10000
